"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 20 18:49:17 BDT 2023","Fri Oct 20 18:49:17 BDT 2023","0","AllureConcepts","test_Pytest_Allure","","","","test_methodB",""
"passed","Fri Oct 20 18:49:17 BDT 2023","Fri Oct 20 18:49:17 BDT 2023","1","AllureConcepts","test_Pytest_Allure","","","","test_methodA",""
"failed","Fri Oct 20 18:49:17 BDT 2023","Fri Oct 20 18:49:17 BDT 2023","0","AllureConcepts","test_Pytest_Allure","","","","test_methodD",""
"skipped","Fri Oct 20 18:49:17 BDT 2023","Fri Oct 20 18:49:17 BDT 2023","0","AllureConcepts","test_Pytest_Allure","","","","test_methodC",""
